SYMBOL,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,CHANGE (%),VOLUME,sector,index
HINOON,"1,069.66","1,079.90","1,088.75","1,062.00","1,069.64",-0.02,0.00%,"15,683",['PHARMACEUTICALS'],"['ALLSHR', 'MII30', 'KSE100', 'KSE100PR', 'KMIALLSHR']"
EPCLPS,12.50,12.50,12.50,11.55,12.50,0.00,0.00%,"15,254",['CHEMICAL'],['ALLSHR']
MSOT,59.09,58.01,63.50,56.76,60.67,1.58,2.67%,"15,241",['TEXTILE COMPOSITE'],['ALLSHR']
UBLPETF,38.13,38.25,38.39,36.24,38.27,0.14,0.37%,"15,000",['EXCHANGE TRADED FUNDS'],[]
PKGS,740.14,739.00,740.00,733.00,739.98,-0.16,-0.02%,"14,892","['PAPER, BOARD & PACKAGING']","['KSE100', 'KMIALLSHR', 'ALLSHR', 'KSE100PR']"
HAEL,21.14,21.10,22.46,19.10,21.25,0.11,0.52%,"12,591",['TEXTILE COMPOSITE'],"['ALLSHR', 'KMIALLSHR']"
KOHP,42.40,42.94,42.94,41.40,42.03,-0.37,-0.87%,"12,062",['POWER GENERATION & DISTRIBUTION'],['ALLSHR']
ARPL,444.75,449.90,450.00,446.00,449.00,4.25,0.96%,"11,977",['CHEMICAL'],"['ALLSHR', 'KMIALLSHR']"
PKGI,11.50,11.48,11.55,11.48,11.55,0.05,0.43%,"11,813",['INSURANCE'],['ALLSHR']
PKGP,61.34,61.78,63.23,59.50,61.76,0.42,0.69%,"11,576",['POWER GENERATION & DISTRIBUTION'],"['KSE100', 'ALLSHR', 'KSE100PR']"
UDPL,127.42,129.00,130.00,127.75,128.04,0.62,0.49%,"11,101",['MISCELLANEOUS'],"['ALLSHR', 'KMIALLSHR']"
BCL,88.61,89.00,90.00,88.00,89.93,1.32,1.49%,"11,024",['ENGINEERING'],"['ALLSHR', 'KMIALLSHR']"
MSCL,13.70,14.00,14.00,13.12,13.51,-0.19,-1.39%,"10,398",['ENGINEERING'],"['ALLSHR', 'KMIALLSHR']"
ATLH,"1,403.10","1,415.00","1,415.00","1,392.00","1,402.55",-0.55,-0.04%,"9,821",['AUTOMOBILE ASSEMBLER'],"['KSE100', 'ALLSHR', 'KSE100PR']"
PIM,22.08,24.21,24.29,24.21,24.29,2.21,10.01%,"9,692","['TEXTILE SPINNING', 'LEATHER & TANNERIES', 'FERTILIZER', 'OIL & GAS MARKETING COMPANIES', 'PHARMACEUTICALS', 'PROPERTY', 'TEXTILE WEAVING', 'TEXTILE COMPOSITE', 'MISCELLANEOUS', 'COMMERCIAL BANKS', 'TRANSPORT', 'EXCHANGE TRADED FUNDS', 'CABLE & ELECTRICAL GOODS', 'INV. BANKS / INV. COS. / SECURITIES COS.', 'AUTOMOBILE PARTS & ACCESSORIES', 'MODARABAS', 'CHEMICAL', 'CEMENT', 'FOOD & PERSONAL CARE PRODUCTS', 'GLASS & CERAMICS', 'ENGINEERING', 'REFINERY', 'AUTOMOBILE ASSEMBLER', 'SUGAR & ALLIED INDUSTRIES', 'SYNTHETIC & RAYON', 'LEASING COMPANIES', 'TOBACCO', 'INSURANCE', 'OIL & GAS EXPLORATION COMPANIES', 'TECHNOLOGY & COMMUNICATION', 'PAPER, BOARD & PACKAGING', 'REAL ESTATE INVESTMENT TRUST', 'POWER GENERATION & DISTRIBUTION', 'CLOSE - END MUTUAL FUND', 'VANASPATI & ALLIED INDUSTRIES', 'JUTE', 'WOOLLEN']","['KMI30', 'NBPPGI', 'KSE30', 'PSXDIV20', 'NITPGI', 'MZNPI', 'ALLSHR', 'MII30', 'ACI', 'KSE100', 'JSGBKTI', 'KSE100PR', 'OGTI', 'KMIALLSHR', 'UPP9', 'BKTI', 'JSMFI', 'HBLTTI']"
CPPL,96.41,97.90,97.90,95.10,97.07,0.66,0.69%,"9,661","['PAPER, BOARD & PACKAGING']","['ALLSHR', 'KMIALLSHR']"
SHEZ,256.84,259.50,259.50,250.00,251.50,-5.34,-2.08%,"9,292",['FOOD & PERSONAL CARE PRODUCTS'],"['ALLSHR', 'KMIALLSHR']"
SURC,119.17,121.00,123.98,121.00,121.46,2.29,1.92%,"9,157",['TEXTILE COMPOSITE'],"['ALLSHR', 'KMIALLSHR']"
UBDL,26.94,27.98,27.98,26.06,27.00,0.06,0.22%,"8,841",['MISCELLANEOUS'],"['ALLSHR', 'KMIALLSHR']"
HINO,485.84,487.00,495.00,483.00,489.90,4.06,0.84%,"8,596",['AUTOMOBILE ASSEMBLER'],"['ALLSHR', 'KMIALLSHR']"
ATBA,237.39,238.00,240.00,234.01,238.90,1.51,0.64%,"8,160",['AUTOMOBILE PARTS & ACCESSORIES'],"['ALLSHR', 'KMIALLSHR']"
PAKD,162.26,164.26,178.49,164.26,170.35,8.09,4.99%,"8,127",['TECHNOLOGY & COMMUNICATION'],"['ALLSHR', 'KMIALLSHR']"
NONS,91.00,91.00,91.00,91.00,91.00,0.00,0.00%,"8,001",['SUGAR & ALLIED INDUSTRIES'],['ALLSHR']
POML,197.19,199.00,202.01,195.01,196.45,-0.74,-0.37%,"7,776",['VANASPATI & ALLIED INDUSTRIES'],"['ALLSHR', 'KMIALLSHR']"
BAFS,320.77,345.00,345.00,290.01,322.60,1.83,0.57%,"7,441",['SUGAR & ALLIED INDUSTRIES'],['ALLSHR']
GLPL,359.51,365.99,384.00,365.00,377.57,18.06,5.02%,"7,199",['FOOD & PERSONAL CARE PRODUCTS'],"['ALLSHR', 'KMIALLSHR']"
UNIC,15.05,15.23,15.23,14.80,14.83,-0.22,-1.46%,"7,195",['INSURANCE'],['ALLSHR']
SERT,36.37,36.59,37.70,36.00,36.79,0.42,1.16%,"7,170",['TEXTILE SPINNING'],"['ALLSHR', 'KMIALLSHR']"
MACTER,335.58,338.99,340.00,336.01,338.07,2.49,0.74%,"7,050",['PHARMACEUTICALS'],"['ALLSHR', 'KMIALLSHR']"
CASH,43.14,45.45,47.00,40.55,42.30,-0.84,-1.95%,"7,024",['INV. BANKS / INV. COS. / SECURITIES COS.'],['ALLSHR']
AGIL,140.00,140.00,143.00,140.00,140.20,0.20,0.14%,"6,885",['AUTOMOBILE PARTS & ACCESSORIES'],"['ALLSHR', 'KMIALLSHR']"
BELANC,103.76,103.50,106.00,103.00,104.94,1.18,1.14%,"6,749",['AUTOMOBILE PARTS & ACCESSORIES'],['ALLSHR']
FIBLM,11.52,11.52,11.75,11.21,11.51,-0.01,-0.09%,"6,739",['MODARABAS'],"['ALLSHR', 'KMIALLSHR']"
WAHN,338.22,341.00,341.00,330.00,334.52,-3.70,-1.09%,"6,594",['CHEMICAL'],"['ALLSHR', 'KMIALLSHR']"
HRPL,25.97,26.25,26.85,25.75,25.76,-0.21,-0.81%,"6,230",['SUGAR & ALLIED INDUSTRIES'],"['ALLSHR', 'KMIALLSHR']"
COLG,"1,283.98","1,282.00","1,284.95","1,270.00","1,278.27",-5.71,-0.44%,"6,116",['FOOD & PERSONAL CARE PRODUCTS'],"['KSE100', 'ALLSHR', 'KSE100PR']"
PPVCNC,20.76,22.00,22.84,19.50,21.98,1.22,5.88%,"5,774",['CHEMICAL'],['ALLSHR']
INKL,105.83,107.50,110.00,102.21,105.92,0.09,0.08%,"5,760",['TEXTILE COMPOSITE'],['ALLSHR']
INIL,187.87,188.90,189.00,185.01,186.24,-1.63,-0.87%,"5,752",['ENGINEERING'],"['ALLSHR', 'ACI', 'KSE100', 'KSE100PR', 'KMIALLSHR']"
IDYM,162.00,164.50,165.00,160.00,160.25,-1.75,-1.08%,"5,704",['TEXTILE SPINNING'],['ALLSHR']
CLVL,16.36,16.62,16.80,15.58,16.58,0.22,1.35%,"5,695",['TRANSPORT'],['ALLSHR']
MCBIM,208.66,210.69,219.95,210.00,219.85,11.19,5.36%,"5,632",['INV. BANKS / INV. COS. / SECURITIES COS.'],['ALLSHR']
LEUL,52.25,52.50,53.00,48.75,50.08,-2.17,-4.15%,"5,621",['LEATHER & TANNERIES'],"['ALLSHR', 'KMIALLSHR']"
FPRM,13.69,13.13,14.00,13.13,13.81,0.12,0.88%,"5,607",['MODARABAS'],"['ALLSHR', 'KMIALLSHR']"
DADX,62.64,59.25,62.98,59.25,62.35,-0.29,-0.46%,"5,587",['ENGINEERING'],"['ALLSHR', 'KMIALLSHR']"
JUBSNC,22.45,22.40,24.40,22.24,23.23,0.78,3.47%,"5,574",['TEXTILE COMPOSITE'],['ALLSHR']
TPLL,27.30,28.25,29.45,27.51,28.94,1.64,6.01%,"5,533",['INSURANCE'],['ALLSHR']
ZAHID,64.91,66.99,66.99,64.41,65.15,0.24,0.37%,"5,510",['TEXTILE COMPOSITE'],"['ALLSHR', 'KMIALLSHR']"
SITC,884.94,898.99,908.00,885.00,890.01,5.07,0.57%,"5,488",['CHEMICAL'],"['ALLSHR', 'KMIALLSHR']"
ADAMS,70.47,70.47,75.90,65.15,75.79,5.32,7.55%,"5,348",['SUGAR & ALLIED INDUSTRIES'],"['ALLSHR', 'KMIALLSHR']"
FRCL,90.40,94.25,94.90,87.16,94.90,4.50,4.98%,"5,126",['GLASS & CERAMICS'],"['ALLSHR', 'KMIALLSHR']"
SNAI,30.86,30.87,30.87,30.50,30.50,-0.36,-1.17%,"5,000",['TEXTILE SPINNING'],"['ALLSHR', 'KMIALLSHR']"
MQTM,29.56,29.98,29.99,28.05,28.20,-1.36,-4.60%,"4,978",['TEXTILE SPINNING'],"['ALLSHR', 'KMIALLSHR']"
THALL,517.65,525.00,525.00,510.00,514.02,-3.63,-0.70%,"4,973",['AUTOMOBILE PARTS & ACCESSORIES'],"['KSE100', 'ALLSHR', 'KSE100PR']"
NEXT,13.43,13.49,13.49,13.00,13.01,-0.42,-3.13%,"4,969",['INV. BANKS / INV. COS. / SECURITIES COS.'],['ALLSHR']
KOHTM,62.28,62.28,62.28,60.00,60.13,-2.15,-3.45%,"4,506",['TEXTILE SPINNING'],"['ALLSHR', 'KMIALLSHR']"
JSGBETF,41.92,45.87,45.87,41.85,43.10,1.18,2.82%,"4,500",['EXCHANGE TRADED FUNDS'],[]
FML,68.46,69.01,70.01,68.00,68.00,-0.46,-0.67%,"4,202",['TEXTILE COMPOSITE'],"['ALLSHR', 'KMIALLSHR']"
ZIL,481.35,453.01,497.00,450.00,477.47,-3.88,-0.81%,"4,175",['FOOD & PERSONAL CARE PRODUCTS'],"['ALLSHR', 'KMIALLSHR']"
DYNO,280.38,284.85,287.00,282.99,286.73,6.35,2.27%,"4,095",['CHEMICAL'],"['ALLSHR', 'KMIALLSHR']"
NBPGETF,29.86,31.75,31.75,28.12,30.97,1.11,3.72%,"4,000",['EXCHANGE TRADED FUNDS'],[]
LPGL,102.03,106.45,106.45,100.00,100.72,-1.31,-1.28%,"3,841",['CHEMICAL'],"['ALLSHR', 'KMIALLSHR']"
SLYTWU,12.34,12.22,13.37,12.05,12.31,-0.03,-0.24%,"3,786",['TEXTILE SPINNING'],['ALLSHR']
DINT,65.43,65.43,65.43,63.00,63.00,-2.43,-3.71%,"3,777",['TEXTILE SPINNING'],"['ALLSHR', 'KMIALLSHR']"
ELSM,120.00,120.00,122.00,110.29,122.00,2.00,1.67%,"3,775",['TEXTILE SPINNING'],"['ALLSHR', 'KMIALLSHR']"
BIFO,163.39,163.20,168.60,163.20,164.31,0.92,0.56%,"3,667",['CHEMICAL'],"['ALLSHR', 'KMIALLSHR']"
AGIC,38.30,38.07,38.43,38.00,38.43,0.13,0.34%,"3,529",['INSURANCE'],['ALLSHR']
OLPM,21.25,21.39,21.49,21.00,21.21,-0.04,-0.19%,"3,439",['MODARABAS'],"['ALLSHR', 'KMIALLSHR']"
CHAS,70.07,75.96,75.96,71.00,72.88,2.81,4.01%,"3,350",['SUGAR & ALLIED INDUSTRIES'],['ALLSHR']
ZTL,14.53,14.54,14.71,14.54,14.67,0.14,0.96%,"3,257",['TEXTILE WEAVING'],"['ALLSHR', 'KMIALLSHR']"
MFFL,192.71,194.98,196.90,192.10,196.15,3.44,1.79%,"3,254",['FOOD & PERSONAL CARE PRODUCTS'],"['ALLSHR', 'KMIALLSHR']"
SSOM,444.03,453.99,453.99,440.00,442.29,-1.74,-0.39%,"3,039",['VANASPATI & ALLIED INDUSTRIES'],"['KSE100', 'KMIALLSHR', 'ALLSHR', 'KSE100PR']"
GADT,342.57,345.00,345.00,341.00,342.02,-0.55,-0.16%,"2,972",['TEXTILE SPINNING'],"['KSE100', 'ALLSHR', 'KSE100PR']"
FTSM,12.48,12.22,13.59,11.52,12.48,0.00,0.00%,"2,551",['MODARABAS'],"['ALLSHR', 'KMIALLSHR']"
TOWL,156.18,155.00,156.89,153.20,153.34,-2.84,-1.82%,"2,541",['TEXTILE COMPOSITE'],"['ALLSHR', 'KMIALLSHR']"
PAKOXY,312.13,313.00,320.00,312.00,317.05,4.92,1.58%,"2,504",['CHEMICAL'],"['ALLSHR', 'KMIALLSHR']"
ACIETF,18.00,19.00,19.00,18.01,18.49,0.49,2.72%,"2,500",['EXCHANGE TRADED FUNDS'],[]
FTMMXD,20.01,20.00,20.50,20.00,20.50,0.49,2.45%,"2,405",['MODARABAS'],"['ALLSHR', 'KMIALLSHR']"
SASML,192.28,191.95,211.00,175.04,202.07,9.79,5.09%,"2,327",['SUGAR & ALLIED INDUSTRIES'],['ALLSHR']
HABSM,83.23,83.50,83.50,82.26,82.27,-0.96,-1.15%,"2,316",['SUGAR & ALLIED INDUSTRIES'],"['ALLSHR', 'KMIALLSHR']"
BUXL,146.58,149.65,157.75,142.11,151.74,5.16,3.52%,"2,232",['CHEMICAL'],"['ALLSHR', 'KMIALLSHR']"
ARCTM,27.99,28.08,28.08,27.00,27.18,-0.81,-2.89%,"2,230",['TEXTILE SPINNING'],"['ALLSHR', 'KMIALLSHR']"
EXIDE,625.84,629.90,630.00,625.00,628.54,2.70,0.43%,"2,200",['AUTOMOBILE PARTS & ACCESSORIES'],"['ALLSHR', 'KMIALLSHR']"
FRSM,54.17,54.50,55.00,53.60,54.83,0.66,1.22%,"2,164",['SUGAR & ALLIED INDUSTRIES'],"['ALLSHR', 'KMIALLSHR']"
